Word,Song IDs and Frequencies
渺无,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
音讯,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1, s2066:1"
渺无音讯,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
往事,"s1001:2, s1005:2, s1011:1, s1024:1, s1027:2, s1033:1, s1042:1, s1045:2, s1050:1, s1053:2, s1076:3, s1078:2, s1081:2, s1105:1, s1111:1, s1115:1, s1167:1, s2079:3, s2112:2, s2130:1, s2165:3, s3071:1, s3079:1, s3128:3, s3234:1, s3244:1, s5007:1, s5069:1, s5126:1, s5182:1, s5219:1, s5225:1, s6008:1, s6035:3, s6051:1, s6154:1, s6158:1"
淡去,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
梦境,"s1001:2, s1005:2, s1011:1, s1016:1, s1024:1, s1027:2, s1033:1, s1039:3, s1042:1, s1045:2, s1050:1, s1053:2, s1076:3, s1078:2, s1081:2, s1105:1, s1108:1, s1111:1, s1170:11, s2130:1, s3014:1, s3037:2, s3060:2, s3068:2, s3168:2, s3174:3, s3193:1, s3209:1, s3235:1, s3245:2, s3255:2, s3261:1, s3265:1, s5041:1, s5064:3, s5106:2, s5147:1, s5155:3"
麻痹,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1, s3067:2"
逐渐,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1085:1, s1111:1, s1119:1, s3035:2, s3057:2, s3185:1, s3188:2, s3247:2, s5020:2, s5114:2, s5218:2"
远去,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1, s1129:1, s2132:1, s3065:3, s4027:3, s4030:1, s5047:1, s5080:1, s5118:2, s5154:1, s5172:3, s5184:2"
好想你,"s1001:12, s1005:12, s1027:12, s1033:2, s1042:2, s1045:12, s1053:12, s1078:12, s1081:12, s1111:2, s3243:1, s6002:4, s6036:4, s6040:4, s6095:4, s6127:4"
不露,"s1001:2, s1005:2, s1027:2, s1053:2, s1081:2, s1111:1, s3231:3"
痕迹,"s1001:2, s1005:2, s1027:2, s1045:2, s1049:1, s1053:2, s1070:1, s1078:2, s1081:2, s1101:2, s1111:1, s1118:1, s2253:1, s3023:2, s3118:2, s3272:1, s6041:1, s6096:1, s6149:1, s6230:1, s6262:1"
不露痕迹,"s1001:2, s1005:2, s1027:2, s1053:2, s1081:2, s1111:1"
踮着,"s1001:2, s1005:2, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2"
思念,"s1001:2, s1005:2, s1027:2, s1045:2, s1046:2, s1047:2, s1053:2, s1060:1, s1078:2, s1081:2, s1090:2, s1101:1, s1135:2, s1136:1, s2002:1, s2013:2, s2014:5, s2015:3, s2018:1, s2023:1, s2028:2, s2042:1, s2044:3, s2050:5, s2051:2, s2052:2, s2066:1, s2076:3, s2079:2, s2087:4, s2088:2, s2113:1, s2114:2, s2116:1, s2126:3, s2144:2, s2150:2, s2151:1, s2158:1, s2166:1, s2170:1, s2172:1, s2193:1, s2196:3, s2213:3, s2221:3, s2226:1, s2238:2, s2241:5, s2248:1, s2260:2, s2263:1, s2281:1, s3003:2, s3004:4, s3006:3, s3016:2, s3018:2, s3021:2, s3056:2, s3073:1, s3077:2, s3079:3, s3103:1, s3108:2, s3113:3, s3126:2, s3127:1, s3135:2, s3148:2, s3152:1, s3195:2, s3202:2, s3223:3, s3225:2, s3234:1, s3243:1, s3250:2, s3276:4, s3279:4, s3280:1, s3283:2, s3286:2, s4014:2, s5007:1, s5018:1, s5047:1, s5076:2, s5126:1, s5139:2, s5167:1, s5183:1, s5196:3, s5219:1, s5225:1, s5255:2, s6005:1, s6006:1, s6021:1, s6025:3, s6065:1, s6089:2, s6100:3, s6102:1, s6133:1, s6141:1, s6148:1, s6152:1, s6178:4, s6199:3, s6205:3, s6210:2, s6220:4"
记忆,"s1001:2, s1005:2, s1015:1, s1027:2, s1045:2, s1051:1, s1053:2, s1060:1, s1078:2, s1081:2, s1101:1, s1117:1, s1139:3, s1151:1, s2001:1, s2029:1, s2046:1, s2051:2, s2106:1, s2147:1, s2154:1, s2167:1, s2173:1, s2239:1, s2260:2, s3001:1, s3011:1, s3024:3, s3045:1, s3046:3, s3073:3, s3097:1, s3103:1, s3121:3, s3129:2, s3138:1, s3139:2, s3158:2, s3165:1, s3205:3, s3212:2, s3228:1, s3245:2, s3253:1, s3257:1, s3275:2, s4027:2, s4031:2, s5004:4, s5051:1, s5059:1, s5060:2, s5070:1, s5076:3, s5092:2, s5106:4, s5137:2, s5141:1, s5167:4, s5235:2, s5255:2, s6174:1"
盘旋,"s1001:2, s1005:2, s1015:1, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2, s3049:2, s3053:1, s3120:2, s3153:1, s3173:2, s3237:1, s6186:1, s6257:1"
着眼,"s1001:2, s1005:2, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2, s3198:2, s3266:1, s6020:1, s6032:1, s6084:1, s6118:1, s6151:1, s6213:1, s6277:1"
流泪,"s1001:2, s1005:2, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2, s2044:2, s2115:1, s2216:2, s2248:2, s2281:2, s3046:2, s3278:2, s4030:1, s5010:1, s5018:3, s5021:6, s5048:4, s5087:2, s5116:2, s5142:1, s5149:1, s5159:4, s5216:1, s5228:1, s5243:1, s5248:4, s5253:3, s6011:2, s6023:1, s6024:1, s6048:4, s6060:3, s6093:2, s6120:1, s6125:2, s6156:1, s6211:2, s6212:2, s6218:1, s6228:1, s6249:1"
装作,"s1001:2, s1005:2, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2, s5039:3, s5064:3, s5155:3, s6072:1"
无所,"s1001:2, s1005:2, s1027:2, s1036:1, s1045:2, s1053:2, s1078:2, s1081:2, s1115:1, s1157:3, s2270:3, s3059:1, s3067:2, s3089:2, s3106:1, s5021:1, s5053:2, s5099:4, s5115:1, s5202:1, s6022:3, s6078:1, s6091:4, s6113:2, s6155:2, s6193:2, s6217:3"
所谓,"s1001:2, s1005:2, s1027:2, s1036:2, s1045:2, s1053:2, s1078:2, s1081:2, s2044:2, s2129:1, s3007:1, s3045:1, s3067:2, s3106:1, s3124:1, s3210:1, s3224:1, s3242:1, s5021:1, s5053:2, s5080:1, s5115:1, s5202:1, s6053:1, s6091:4, s6113:2, s6155:2, s6176:1, s6193:2, s6268:1"
无所谓,"s1001:2, s1005:2, s1027:2, s1036:1, s1045:2, s1053:2, s1078:2, s1081:2, s3067:2, s3106:1, s5021:1, s5053:2, s5115:1, s5202:1, s6091:4, s6113:2, s6155:2, s6193:2"
欺骗,"s1001:2, s1005:2, s1027:2, s1045:2, s1053:2, s1078:2, s1081:2, s1113:2, s1138:1, s2002:1, s2042:1, s2166:1, s2170:1, s2172:1, s2193:1, s2248:1, s2281:1, s5045:2, s5051:1, s5059:1, s5141:1"
